# test_id(0) nb_it(1) time(2) mean_time(3) std_time(4) min_time(5) max_time(6) nb_diffusion_it(7) diffusion_time(8) mean_diffusion_time(9) std_diffusion_time(10) min_diffusion_time(11) max_diffusion_time(12) nb_extension_it(13) extension_time(14) mean_extension_time(15) std_extension_time(16) min_extension_time(17) max_extension_time(18) nb_nodes(19) path_lenth(20) nb_path_config(21) optim_time(22) optim_path_length(23) nb_optim_path_config(24)
24 581 32.6911 0.0562669 0.0642403 0.004946 0.45224 581 19.6015 0.0337376 0.0383817 0.003295 0.277572 581 9.79907 0.0168659 0.0191906 0.001645 0.138782 216 2.47342 26 1.90612 2.13093 4
25 265 16.9528 0.0639729 0.0724659 0.004953 0.324793 265 9.55906 0.0360719 0.0396528 0.003299 0.192358 265 4.77874 0.018033 0.0198262 0.001647 0.096175 104 2.74285 21 1.50108 2.73836 10
26 104 8.48583 0.0815945 0.0892778 0.004967 0.388246 104 5.07812 0.048828 0.0532429 0.003309 0.253749 104 2.53875 0.0244111 0.0266212 0.001652 0.126871 49 2.63676 19 2.29242 2.29297 5
27 225 13.8772 0.0616766 0.0756826 0.003953 0.510946 225 7.62836 0.0339038 0.0396498 0.002633 0.311091 225 3.81353 0.016949 0.0198248 0.001314 0.155542 76 2.56 15 2.7932 2.33769 3
28 124 7.54948 0.0608829 0.0717621 0.005004 0.404924 124 4.0781 0.0328879 0.0384023 0.003333 0.26435 124 2.03869 0.0164411 0.019201 0.001664 0.132172 52 2.37321 18 1.70453 2.05565 11
29 265 18.2849 0.0689997 0.0792355 0.004964 0.535544 265 10.1246 0.0382062 0.0457335 0.003307 0.351257 265 5.06154 0.0191001 0.0228666 0.001651 0.175625 116 3.01052 21 1.77972 2.50111 5
30 190 12.8568 0.0676674 0.0817135 0.004958 0.456036 190 7.38638 0.0388757 0.0465021 0.003303 0.299963 190 3.69265 0.019435 0.0232508 0.001649 0.149976 77 3.58883 21 2.86632 3.02142 4
31 636 33.2391 0.0522628 0.0615284 0.003976 0.561279 636 20.4722 0.032189 0.0374283 0.002648 0.366373 636 10.2343 0.0160917 0.018714 0.001322 0.183183 229 2.48585 33 1.92987 2.56862 5
32 194 15.8433 0.0816666 0.0908132 0.00493 0.460082 194 8.58766 0.0442663 0.0497866 0.003284 0.289779 194 4.29325 0.0221301 0.0248931 0.001639 0.144886 99 3.13662 21 2.42999 2.79024 5
33 64 7.68453 0.120071 0.101007 0.006115 0.413391 64 3.7767 0.0590109 0.0503311 0.004074 0.181664 64 1.88813 0.0295021 0.0251654 0.002034 0.090829 41 2.72965 13 1.69074 2.31089 4
