# test_id(0) nb_it(1) time(2) mean_time(3) std_time(4) min_time(5) max_time(6) nb_diffusion_it(7) diffusion_time(8) mean_diffusion_time(9) std_diffusion_time(10) min_diffusion_time(11) max_diffusion_time(12) nb_extension_it(13) extension_time(14) mean_extension_time(15) std_extension_time(16) min_extension_time(17) max_extension_time(18) nb_nodes(19) path_lenth(20) nb_path_config(21) optim_time(22) optim_path_length(23) nb_optim_path_config(24)
406 114 7.41225 0.0650198 0.0776845 0.005122 0.450554 114 3.85446 0.0338111 0.0351007 0.003412 0.172111 114 1.92654 0.0168995 0.0175462 0.001703 0.086042 8 3.27248 8 1.89345 2.21417 3
407 1210 40.8207 0.0337361 0.0382672 0.005162 0.439978 1210 25.1259 0.0207652 0.0201365 0.003439 0.286453 1210 12.5585 0.0103789 0.0100661 0.001717 0.143213 30 3.78194 11 3.35395 2.30793 4
408 453 21.0988 0.0465757 0.056236 0.005194 0.362679 453 11.9103 0.026292 0.0289525 0.00346 0.18461 453 5.95284 0.0131409 0.0144729 0.001727 0.092283 13 3.09357 13 2.05827 2.29952 6
409 88 6.8901 0.0782966 0.0937273 0.005081 0.421423 88 3.16509 0.0359669 0.0384053 0.003385 0.177256 88 1.58192 0.0179764 0.0191984 0.00169 0.088614 12 3.06185 12 2.20358 2.22333 4
410 235 10.7834 0.045887 0.0585874 0.00509 0.46617 235 6.13275 0.0260968 0.0275499 0.003391 0.176801 235 3.06518 0.0130433 0.0137715 0.001693 0.088387 12 2.93412 12 1.83197 2.7643 10
411 332 14.4442 0.0435067 0.0520531 0.005145 0.303309 332 7.64914 0.0230396 0.0230512 0.003427 0.183354 332 3.82296 0.0115149 0.0115223 0.001711 0.091664 14 3.14831 14 3.51613 2.23886 4
412 161 8.16883 0.050738 0.0655494 0.005065 0.365434 161 4.6295 0.0287546 0.0344496 0.003374 0.215786 161 2.31391 0.0143721 0.0172215 0.001684 0.107879 8 3.15759 8 2.45197 2.45586 6
413 174 10.5389 0.0605683 0.0767122 0.005576 0.596981 174 5.79678 0.0333148 0.043155 0.003715 0.375581 174 2.89731 0.0166512 0.0215738 0.001855 0.187775 15 3.10822 15 1.1972 2.28458 3
414 1089 35.2905 0.0324063 0.0365104 0.00504 0.374801 1089 22.1444 0.0203346 0.0205331 0.003357 0.234484 1089 11.0683 0.0101637 0.0102643 0.001676 0.117229 20 2.53997 14 1.69264 2.4765 10
415 178 9.56795 0.0537526 0.0678093 0.005112 0.496352 178 5.38794 0.0302693 0.0357655 0.003405 0.288025 178 2.69296 0.015129 0.0178795 0.001699 0.143999 11 3.19434 11 1.91333 2.32554 7
416 101 5.96531 0.0590625 0.0752486 0.004517 0.404904 101 3.25927 0.03227 0.0406566 0.003009 0.265203 101 1.62904 0.0161291 0.0203245 0.001502 0.132587 9 2.4367 9 2.15482 2.26446 7
417 1284 44.4969 0.0346549 0.038446 0.005095 0.345892 1284 28.2101 0.0219705 0.022405 0.003394 0.209278 1284 14.1 0.0109813 0.0112 0.001694 0.104623 11 3.64204 11 1.17194 2.85719 9
418 767 29.2525 0.0381388 0.0453856 0.004974 0.426283 767 17.7218 0.0231054 0.0258485 0.003312 0.278541 767 8.85738 0.0115481 0.0129213 0.001651 0.139256 19 2.6876 19 2.15988 2.3887 7
419 84 4.70954 0.056066 0.0688359 0.005905 0.338155 84 2.54158 0.0302569 0.0337465 0.003934 0.174823 84 1.27016 0.015121 0.0168683 0.001964 0.087396 12 3.29251 12 2.90191 2.2862 4
420 327 16.3256 0.0499254 0.0559013 0.005153 0.271636 327 9.1598 0.0280116 0.028504 0.003433 0.176115 327 4.5779 0.0139997 0.0142478 0.001714 0.088043 12 2.71965 12 1.77031 2.29136 6
421 545 18.4405 0.0338358 0.0429262 0.00504 0.453802 545 11.4308 0.020974 0.0232305 0.003357 0.275183 545 5.71323 0.010483 0.0116128 0.001676 0.137574 7 3.0146 7 1.83044 2.14839 4
422 99 6.89687 0.0696654 0.0772098 0.005117 0.351734 99 3.30399 0.0333737 0.035756 0.003409 0.152093 99 1.65132 0.01668 0.0178741 0.001702 0.076033 11 3.82614 9 2.50863 2.33758 4
423 1906 64.4676 0.0338235 0.0394559 0.004011 0.458188 1906 38.9989 0.0204611 0.0201093 0.002671 0.203331 1906 19.4917 0.0102265 0.0100521 0.001333 0.101651 9 2.64655 9 2.20301 2.4787 5
424 422 25.9831 0.0615714 0.0733894 0.00398 0.508359 422 13.518 0.0320331 0.0357455 0.002651 0.225338 422 6.75624 0.01601 0.0178692 0.001323 0.112653 26 3.74302 19 1.78219 2.96844 7
425 275 11.2142 0.0407788 0.0513979 0.005231 0.328781 275 6.73082 0.0244757 0.0277711 0.003485 0.172242 275 3.36415 0.0122333 0.0138823 0.00174 0.086105 13 3.4412 13 1.73366 2.30408 6
426 766 25.4736 0.0332553 0.0397055 0.005159 0.321001 766 15.6115 0.0203805 0.0211021 0.003437 0.201858 766 7.80278 0.0101864 0.0105485 0.001716 0.100913 17 3.54773 17 1.61253 2.2735 3
427 170 9.50044 0.0558849 0.0726642 0.005105 0.394078 170 5.14963 0.0302919 0.03786 0.0034 0.257906 170 2.57383 0.0151402 0.0189265 0.001697 0.128939 16 2.87397 16 3.22243 2.89886 8
428 591 24.203 0.0409526 0.0531972 0.005096 0.485752 591 14.3356 0.0242564 0.0277475 0.003395 0.241669 591 7.16516 0.0121238 0.0138708 0.001695 0.12082 8 2.74847 8 2.62155 2.22732 4
429 344 14.3525 0.0417224 0.0541406 0.005156 0.4578 344 8.60599 0.0250174 0.0291843 0.003435 0.263957 344 4.30147 0.0125043 0.0145892 0.001715 0.131964 9 3.45719 9 2.02548 2.46796 7
430 381 17.0502 0.0447512 0.0598528 0.005149 0.491429 381 9.76605 0.0256327 0.029818 0.00343 0.251154 381 4.8812 0.0128115 0.0149058 0.001712 0.125562 13 2.68591 13 1.44251 2.34077 5
431 851 35.3133 0.0414962 0.0480176 0.004089 0.437085 851 20.8568 0.0245086 0.0261816 0.002723 0.27013 851 10.4243 0.0122495 0.0130876 0.001359 0.13505 19 4.46964 19 2.12767 2.27323 4
432 5999 175.761 0.0292984 0.029732 0.005017 0.752712 5999 112.742 0.0187935 0.016293 0.003342 0.202483 5999 56.3508 0.00939336 0.00814475 0.001668 0.101228 14 5.20529 14 2.29296 3.11658 10
433 4801 146.359 0.0304851 0.039754 0.004151 0.731801 4801 88.0026 0.0183301 0.0187688 0.002765 0.280229 4801 43.9837 0.00916135 0.00938237 0.00138 0.140098 9 3.56063 9 2.47914 2.70453 7
434 1064 35.5998 0.0334584 0.0370849 0.005199 0.328303 1064 22.187 0.0208525 0.0206601 0.003463 0.20538 1064 11.0894 0.0104223 0.0103275 0.001729 0.102676 15 3.14306 15 2.13935 2.50931 11
435 168 11.6597 0.0694028 0.0888234 0.005126 0.599611 168 5.32952 0.0317233 0.037209 0.003414 0.236607 168 2.66367 0.0158552 0.0186009 0.001704 0.118289 33 2.85493 15 2.28826 2.26786 4
436 131 6.97006 0.0532066 0.0591599 0.005016 0.270671 131 3.6637 0.0279672 0.0286455 0.003341 0.167972 131 1.83106 0.0139775 0.0143191 0.001668 0.083973 13 2.99472 12 2.06047 2.47394 6
437 246 11.6366 0.0473034 0.0559796 0.00513 0.336738 246 6.57869 0.0267426 0.0292918 0.003416 0.213066 246 3.2881 0.0133662 0.0146428 0.001704 0.106518 13 3.39013 13 2.84716 2.33178 5
438 158 8.86028 0.0560777 0.0771523 0.005572 0.595102 158 4.72286 0.0298915 0.0334144 0.003712 0.193023 158 2.36054 0.0149401 0.0167037 0.001853 0.096497 6 3.22977 6 2.68027 2.92732 5
439 1264 44.1554 0.0349331 0.0449798 0.005081 0.522828 1264 26.1091 0.0206559 0.0221662 0.003385 0.228007 1264 13.0494 0.0103239 0.0110806 0.00169 0.11399 7 2.97747 7 3.79996 2.73854 5
440 99 6.47635 0.0654177 0.064526 0.005065 0.266727 99 3.70594 0.0374337 0.0377977 0.003374 0.174485 99 1.85221 0.0187092 0.018895 0.001684 0.087229 13 2.97097 13 2.57404 2.34493 4
441 402 17.1204 0.0425882 0.0548793 0.005004 0.477553 402 9.83132 0.024456 0.0297185 0.003333 0.290157 402 4.91374 0.0122232 0.0148563 0.001664 0.145062 10 2.84557 10 2.6571 2.48971 7
442 409 17.9984 0.0440059 0.0554306 0.005213 0.418767 409 10.4923 0.0256535 0.0288285 0.003473 0.218933 409 5.2441 0.0128218 0.0144109 0.001734 0.109452 11 3.15423 11 1.35614 2.44168 5
443 2207 78.7196 0.0356681 0.0406527 0.004056 0.444987 2207 47.4702 0.0215089 0.0215224 0.002701 0.27552 2207 23.726 0.0107504 0.0107586 0.001348 0.137746 19 2.80644 11 2.23672 2.12085 4
444 227 11.7244 0.0516494 0.0585709 0.004435 0.461848 227 6.66982 0.0293825 0.0315298 0.002954 0.25605 227 3.3335 0.014685 0.0157613 0.001474 0.128011 11 2.97389 11 2.03629 2.97044 9
445 1138 38.0985 0.0334785 0.0364898 0.005145 0.294015 1138 23.4038 0.0205658 0.0192913 0.003427 0.161325 1138 11.6978 0.0102793 0.0096434 0.001711 0.080647 11 2.62575 11 2.0419 2.21215 4
446 193 8.38133 0.0434266 0.0579265 0.004459 0.476453 193 4.67443 0.0242198 0.0253546 0.00297 0.157496 193 2.33628 0.0121051 0.012674 0.001482 0.078734 14 4.36794 14 2.38801 2.28283 5
447 386 18.6485 0.0483122 0.0657722 0.005061 0.517938 386 9.76696 0.025303 0.0275605 0.003371 0.205292 386 4.88158 0.0126466 0.013777 0.001683 0.102632 13 3.97815 13 2.97664 2.68135 6
448 360 14.204 0.0394556 0.0550211 0.005032 0.408036 360 8.34128 0.0231702 0.0283432 0.003352 0.218358 360 4.16909 0.0115808 0.0141688 0.001673 0.109165 9 3.37131 9 1.74829 2.31082 4
449 3842 113.966 0.0296633 0.0324195 0.00455 0.371461 3842 72.443 0.0188555 0.0185018 0.003031 0.236099 3842 36.2077 0.00942419 0.00924894 0.001513 0.118034 13 3.09131 13 1.47223 2.61389 5
450 769 27.1168 0.0352624 0.0397724 0.005351 0.346359 769 17.1003 0.0222371 0.0228452 0.003565 0.178467 769 8.54711 0.0111146 0.0114199 0.001778 0.089219 11 3.12346 11 1.6522 2.41235 4
451 599 24.0858 0.04021 0.0463861 0.003993 0.377957 599 14.2421 0.0237765 0.0247165 0.002659 0.246561 599 7.11825 0.0118836 0.0123552 0.001327 0.123266 22 3.37898 20 1.7958 2.56961 5
452 426 18.5932 0.043646 0.053533 0.004061 0.441889 426 10.4529 0.0245373 0.0259862 0.002705 0.204992 426 5.22443 0.0122639 0.01299 0.00135 0.102482 10 2.83036 10 1.69322 2.22578 4
453 145 8.02264 0.0553285 0.0730692 0.00516 0.587548 145 4.29795 0.029641 0.0382038 0.003437 0.335017 145 2.14812 0.0148146 0.0190985 0.001715 0.167493 11 2.91564 11 2.43495 2.29081 5
454 1102 40.0438 0.0363374 0.0434186 0.005158 0.384011 1102 23.9261 0.0217115 0.0222343 0.003436 0.206948 1102 11.9586 0.0108517 0.0111145 0.001715 0.10346 15 4.36153 15 3.08802 2.2394 4
455 286 12.3073 0.0430326 0.0590559 0.004389 0.308724 286 6.58527 0.0230254 0.026424 0.002923 0.167299 286 3.29136 0.0115082 0.0132089 0.001459 0.083635 10 3.29437 10 2.3203 2.18482 4
456 240 11.0012 0.0458383 0.0570574 0.005043 0.334828 240 6.26607 0.0261086 0.0300728 0.003359 0.204191 240 3.13176 0.013049 0.0150331 0.001677 0.102082 12 3.16487 12 1.81592 2.39584 7
457 4630 142.227 0.0307186 0.0323434 0.004563 0.421922 4630 88.565 0.0191285 0.0175452 0.003039 0.267439 4630 44.2652 0.00956053 0.00877051 0.001517 0.133704 26 3.21494 16 2.3704 2.45026 4
458 1139 50.8198 0.0446179 0.0521519 0.005005 0.434055 1139 28.2935 0.0248406 0.0256252 0.003334 0.238419 1139 14.1408 0.0124151 0.0128093 0.001664 0.119196 20 2.14179 20 1.73695 2.46652 7
459 141 8.52229 0.0604418 0.0697799 0.005225 0.341187 141 4.56826 0.032399 0.0342421 0.003481 0.179622 141 2.28329 0.0161936 0.0171171 0.001738 0.089796 10 2.7405 10 1.42919 2.49499 6
460 80 5.10095 0.0637619 0.0708505 0.00503 0.318851 80 2.82124 0.0352655 0.0373604 0.003351 0.182392 80 1.41006 0.0176257 0.0186764 0.001673 0.091183 13 2.98044 13 1.59831 2.62234 6
461 445 20.5883 0.0462658 0.0528764 0.004358 0.348509 445 11.5838 0.026031 0.0258681 0.002903 0.182818 445 5.7896 0.0130103 0.0129306 0.001449 0.091394 14 3.21748 14 1.42522 2.69759 7
462 258 17.9596 0.0696107 0.0805631 0.005081 0.464036 258 8.2668 0.0320419 0.0322243 0.003385 0.16321 258 4.13166 0.0160142 0.0161082 0.00169 0.081591 11 2.99516 11 1.99973 2.40167 6
463 180 13.5677 0.0753761 0.0884215 0.005085 0.62016 180 7.11891 0.0395495 0.045591 0.003387 0.340354 180 3.55804 0.0197669 0.0227917 0.001691 0.170163 28 3.19557 15 1.6576 2.88248 9
464 424 20.992 0.0495094 0.0617797 0.00525 0.411043 424 11.4968 0.0271152 0.0287867 0.003497 0.213514 424 5.74621 0.0135524 0.0143898 0.001746 0.106743 19 3.68745 19 2.19533 2.51075 8
465 170 7.80347 0.0459028 0.057579 0.005025 0.302511 170 4.54319 0.0267247 0.0315952 0.003347 0.196911 170 2.27074 0.0133573 0.0157943 0.001671 0.098442 13 3.20645 13 1.83782 2.1702 4
466 1351 52.4866 0.0388502 0.0462914 0.00501 0.426955 1351 31.0351 0.0229719 0.0237643 0.003337 0.213885 1351 15.5114 0.0114814 0.011879 0.001666 0.106928 21 3.30668 21 1.77748 2.71291 7
467 720 28.8607 0.0400843 0.0461136 0.004479 0.29215 720 17.0023 0.0236143 0.0243757 0.002983 0.15905 720 8.49778 0.0118025 0.0121846 0.001489 0.079511 16 3.0907 16 2.45358 2.24587 4
468 948 34.5055 0.0363983 0.0401162 0.005016 0.332771 948 20.7466 0.0218846 0.0216506 0.003341 0.199835 948 10.3694 0.0109382 0.0108226 0.001668 0.099904 17 2.882 17 1.39006 2.67938 10
469 148 8.70342 0.0588069 0.0727976 0.003998 0.384702 148 4.81398 0.0325269 0.0394494 0.002663 0.221156 148 2.40606 0.0162572 0.0197211 0.001329 0.110564 11 2.92719 10 1.84698 2.39945 4
470 724 28.7204 0.039669 0.0491182 0.004882 0.426933 724 17.0012 0.0234823 0.0260232 0.003252 0.273542 724 8.49723 0.0117365 0.0130085 0.001623 0.136756 21 3.69862 21 2.53372 2.48711 5
471 86 5.653 0.0657326 0.0797107 0.005031 0.407013 86 3.05729 0.0355499 0.0429521 0.003351 0.236617 86 1.52809 0.0177685 0.0214723 0.001673 0.118294 10 2.72735 10 1.46216 2.49386 7
472 290 15.9508 0.0550027 0.0673701 0.003997 0.433593 290 8.2466 0.0284365 0.0333044 0.002662 0.281949 290 4.12154 0.0142122 0.0166488 0.001328 0.140959 15 2.67844 9 1.83299 2.25277 4
473 1591 49.0165 0.0308086 0.0348029 0.004011 0.566989 1591 30.9514 0.0194541 0.0176761 0.002671 0.212923 1591 15.4701 0.00972348 0.00883598 0.001333 0.106448 7 2.95288 7 2.75455 2.28717 5
474 154 7.66154 0.0497502 0.0588639 0.00514 0.326114 154 4.1325 0.0268344 0.0280512 0.003424 0.170692 154 2.06539 0.0134116 0.0140219 0.001709 0.085329 7 2.73957 7 2.0233 2.23006 4
475 139 7.695 0.0553597 0.0635172 0.005506 0.256982 139 4.08804 0.0294104 0.0302133 0.003668 0.1434 139 2.04312 0.0146987 0.0151027 0.001831 0.071685 13 3.02936 9 2.34833 2.8606 8
476 1594 49.9441 0.0313326 0.0347005 0.00501 0.358167 1594 31.3268 0.019653 0.0193695 0.003337 0.216358 1594 15.6576 0.00982284 0.00968253 0.001666 0.108165 13 2.81083 13 1.26831 2.46848 4
477 330 15.575 0.0471971 0.056377 0.004567 0.435893 330 9.04958 0.027423 0.0302246 0.003042 0.264827 330 4.5231 0.0137064 0.0151089 0.001518 0.132399 11 2.47588 11 3.43659 2.57159 7
478 1349 46.7039 0.0346211 0.0376798 0.004491 0.362119 1349 28.9143 0.0214339 0.020155 0.002991 0.230676 1349 14.4523 0.0107133 0.0100754 0.001493 0.115322 10 3.0422 10 1.47944 2.18121 4
479 308 12.8619 0.0417594 0.0523915 0.00517 0.325391 308 7.40607 0.0240457 0.0266674 0.003444 0.163597 308 3.70151 0.0120179 0.0133302 0.001719 0.081785 9 2.55539 9 1.86087 2.39618 6
480 218 11.9487 0.0548106 0.0644783 0.004949 0.342863 218 6.16508 0.0282802 0.0291759 0.003297 0.132746 218 3.08129 0.0141344 0.0145842 0.001646 0.066358 13 2.81991 13 2.11058 2.46163 4
