# test_id(0) nb_it(1) time(2) mean_time(3) std_time(4) min_time(5) max_time(6) nb_diffusion_it(7) diffusion_time(8) mean_diffusion_time(9) std_diffusion_time(10) min_diffusion_time(11) max_diffusion_time(12) nb_extension_it(13) extension_time(14) mean_extension_time(15) std_extension_time(16) min_extension_time(17) max_extension_time(18) nb_nodes(19) path_lenth(20) nb_path_config(21) optim_time(22) optim_path_length(23) nb_optim_path_config(24)
328 2 0.432286 0.216143 0.011468 0.204675 0.227611 2 0.15689 0.078445 0.048244 0.030201 0.126689 2 0.078437 0.0392185 0.0241215 0.015097 0.06334 4 3.11278 4 1.75059 3.00837 4
329 7 1.18218 0.168883 0.139299 0.006418 0.377762 7 0.616969 0.0881384 0.0713415 0.004276 0.207118 7 0.308449 0.0440641 0.0356699 0.002135 0.103553 6 3.08047 4 0.598606 3.03951 3
330 5 1.05342 0.210684 0.0821145 0.129092 0.357632 5 0.436556 0.0873112 0.0173257 0.072065 0.120034 5 0.218257 0.0436514 0.00866237 0.036029 0.060012 7 3.17068 5 1.11364 3.02207 4
331 4 0.924187 0.231047 0.144508 0.076009 0.45017 4 0.443821 0.110955 0.0502403 0.043709 0.17119 4 0.221893 0.0554732 0.0251203 0.02185 0.085591 6 3.25536 4 2.19835 3.06215 4
332 6 1.03372 0.172286 0.104213 0.036721 0.31624 6 0.468425 0.0780708 0.0432073 0.024477 0.156033 6 0.234186 0.039031 0.0216035 0.012235 0.078012 7 3.24112 5 1.74001 3.05769 3
333 18 2.0506 0.113922 0.0984925 0.006189 0.393775 18 1.03294 0.0573854 0.0404111 0.004123 0.132619 18 0.516407 0.0286893 0.0202051 0.002059 0.066305 14 3.15478 3 0.707991 2.98786 3
334 3 0.384134 0.128045 0.0761574 0.069518 0.235608 3 0.148752 0.049584 0.00747813 0.042892 0.060022 3 0.074364 0.024788 0.00373906 0.021442 0.030007 5 3.10047 5 0.937181 3.00417 4
335 19 1.6632 0.087537 0.0760193 0.006126 0.239726 19 0.862239 0.045381 0.0389108 0.004081 0.140531 19 0.431061 0.0226874 0.0194553 0.002038 0.070262 13 3.24267 5 1.4687 3.13029 4
336 12 1.31207 0.109339 0.0808124 0.00611 0.254999 12 0.696629 0.0580524 0.0473996 0.004071 0.162559 12 0.348268 0.0290223 0.0236995 0.002033 0.081276 11 3.36631 5 1.31151 3.04597 4
337 6 0.801666 0.133611 0.0810173 0.075137 0.298217 6 0.375769 0.0626282 0.0243508 0.043182 0.112217 6 0.18786 0.03131 0.0121752 0.021588 0.056104 8 3.14334 4 1.11758 3.01366 4
