# test_id(0) nb_it(1) time(2) mean_time(3) std_time(4) min_time(5) max_time(6) nb_diffusion_it(7) diffusion_time(8) mean_diffusion_time(9) std_diffusion_time(10) min_diffusion_time(11) max_diffusion_time(12) nb_extension_it(13) extension_time(14) mean_extension_time(15) std_extension_time(16) min_extension_time(17) max_extension_time(18) nb_nodes(19) path_lenth(20) nb_path_config(21) optim_time(22) optim_path_length(23) nb_optim_path_config(24)
415 20 1.18032 0.0590158 0.0728241 0.007617 0.279918 20 0.648748 0.0324374 0.0340269 0.005075 0.112769 20 0.324215 0.0162108 0.0170066 0.002534 0.056354 6 4.00519 6 1.95498 3.03016 3
416 9 0.506344 0.0562604 0.05921 0.010416 0.20421 9 0.289037 0.0321152 0.0284542 0.006941 0.101057 9 0.144468 0.016052 0.0142229 0.003468 0.050514 4 3.45966 4 1.31743 3.01002 3
417 16 1.63697 0.102311 0.122688 0.00742 0.465605 16 0.930082 0.0581301 0.0628557 0.004944 0.221209 16 0.464901 0.0290563 0.0314238 0.002469 0.110589 5 3.13456 5 1.46442 2.97822 3
418 10 0.564739 0.0564739 0.0840682 0.007081 0.290528 10 0.320334 0.0320334 0.0431627 0.004718 0.150998 10 0.160113 0.0160113 0.0215773 0.002356 0.075484 4 3.54671 4 1.84815 3.03914 4
419 8 0.635979 0.0794974 0.0548498 0.011653 0.179848 8 0.307575 0.0384469 0.0223431 0.007765 0.08482 8 0.153718 0.0192147 0.011168 0.003878 0.042396 6 3.66412 6 1.64995 3.06162 4
420 13 0.765902 0.0589155 0.0910528 0.008314 0.331378 13 0.365312 0.0281009 0.0323104 0.00554 0.111898 13 0.182592 0.0140455 0.0161514 0.002767 0.055934 3 3.21346 3 0.687024 2.96034 3
421 5 0.198091 0.0396182 0.0350069 0.012602 0.107804 5 0.118795 0.023759 0.018217 0.008398 0.058618 5 0.059364 0.0118728 0.00910355 0.004195 0.029292 3 3.17028 3 0.826154 3.06507 3
422 8 0.672548 0.0840685 0.0803717 0.008755 0.242825 8 0.309803 0.0387254 0.0316833 0.005833 0.099272 8 0.154823 0.0193529 0.0158361 0.002912 0.049617 4 3.33759 4 0.757999 3.09459 3
423 10 0.437611 0.0437611 0.0546603 0.005506 0.166718 10 0.243264 0.0243264 0.0266555 0.003668 0.076169 10 0.121576 0.0121576 0.0133234 0.001831 0.038071 4 3.46599 4 0.950363 3.00494 3
424 5 0.542497 0.108499 0.0577202 0.007533 0.163847 5 0.220748 0.0441496 0.0279914 0.005019 0.092347 5 0.110309 0.0220618 0.013992 0.002506 0.046157 6 3.63328 6 2.21286 3.01654 4
425 12 0.618762 0.0515635 0.0649659 0.008703 0.21568 12 0.365838 0.0304865 0.0392594 0.005799 0.140591 12 0.182842 0.0152368 0.0196245 0.002897 0.070277 4 3.64548 4 1.36007 3.0115 3
426 28 1.53636 0.05487 0.0762034 0.00564 0.31378 28 0.856516 0.0305899 0.037818 0.003757 0.126977 28 0.428085 0.0152888 0.0189049 0.001875 0.063475 4 3.20781 4 1.02017 2.97258 3
427 3 0.121053 0.040351 0.0410499 0.008753 0.098326 3 0.067639 0.0225463 0.0212245 0.005832 0.052495 3 0.033795 0.011265 0.0106064 0.002912 0.026231 3 3.24264 3 0.832888 2.96007 3
