# test_id(0) nb_it(1) time(2) mean_time(3) std_time(4) min_time(5) max_time(6) nb_diffusion_it(7) diffusion_time(8) mean_diffusion_time(9) std_diffusion_time(10) min_diffusion_time(11) max_diffusion_time(12) nb_extension_it(13) extension_time(14) mean_extension_time(15) std_extension_time(16) min_extension_time(17) max_extension_time(18) nb_nodes(19) path_lenth(20) nb_path_config(21) optim_time(22) optim_path_length(23) nb_optim_path_config(24)
24 36 5.47368 0.152047 0.110338 0.005473 0.424407 36 2.49242 0.069234 0.0528459 0.003646 0.185093 36 1.24609 0.0346137 0.0264227 0.00182 0.092543 29 4.3776 10 2.38944 4.01166 5
25 47 7.4837 0.159228 0.135578 0.005581 0.570891 47 3.05687 0.0650397 0.0512328 0.003718 0.190698 47 1.52827 0.0325165 0.025616 0.001856 0.095345 32 4.42012 14 2.87927 4.1189 4
26 39 4.89292 0.125459 0.113707 0.005407 0.39492 39 2.20239 0.0564714 0.0564472 0.003602 0.236344 39 1.10107 0.0282325 0.0282232 0.001798 0.118168 23 4.42651 10 3.07856 4.05067 3
27 38 6.76611 0.178056 0.148199 0.006753 0.722097 38 2.7612 0.072663 0.0516368 0.004499 0.213353 38 1.38046 0.036328 0.0258181 0.002247 0.106672 27 4.42092 11 2.61277 4.13909 4
28 16 2.99998 0.187499 0.156221 0.007525 0.470066 16 1.41011 0.0881319 0.077514 0.005014 0.240552 16 0.704989 0.0440618 0.0387568 0.002504 0.120271 13 4.67853 9 1.77308 4.06886 4
29 1056 69.4443 0.0657616 0.0800697 0.00444 0.677568 1056 37.8805 0.0358717 0.0438206 0.002957 0.43527 1056 18.9371 0.0179328 0.02191 0.001476 0.217631 348 6.08219 47 3.37513 4.83135 4
30 268 22.728 0.0848059 0.105163 0.004911 0.531151 268 11.0426 0.0412038 0.0501773 0.003271 0.305666 268 5.5205 0.0205989 0.0250884 0.001633 0.152829 97 4.5324 14 2.97174 4.27719 4
31 16 2.85001 0.178125 0.129616 0.006622 0.459792 16 1.33198 0.0832487 0.0599 0.004412 0.236452 16 0.665934 0.0416209 0.0299497 0.002203 0.118222 14 4.34505 7 2.42891 4.05025 4
32 1418 93.9894 0.0662831 0.0738917 0.00472 0.670084 1418 53.099 0.0374464 0.0409594 0.003144 0.418853 1418 26.5451 0.0187201 0.0204794 0.001569 0.209422 487 6.13142 48 2.33758 5.60989 4
33 30 5.86454 0.195485 0.190452 0.006771 0.835564 30 2.82717 0.0942391 0.0960208 0.004511 0.503756 30 1.41347 0.0471157 0.0480103 0.002253 0.251874 24 4.31264 9 2.17311 4.10929 4
34 17 3.30235 0.194256 0.170984 0.006634 0.657558 17 1.52782 0.0898716 0.0729238 0.00442 0.291764 17 0.76385 0.0449324 0.0364615 0.002207 0.145878 15 5.1632 10 1.41123 4.01105 3
35 1884 118.794 0.0630544 0.072933 0.004508 0.592438 1884 65.4723 0.0347517 0.0377994 0.003003 0.379555 1884 32.7304 0.0173728 0.0188995 0.001499 0.189773 607 8.37137 66 3.9276 6.17541 4
36 479 37.0829 0.0774173 0.0835352 0.005333 0.617636 479 19.4259 0.0405551 0.0426537 0.003553 0.397333 479 9.71147 0.0202745 0.0213266 0.001774 0.198662 188 4.58193 17 2.23848 4.08429 3
37 182 18.5267 0.101795 0.11 0.005315 0.615598 182 8.97787 0.049329 0.054031 0.003541 0.38923 182 4.48836 0.0246613 0.0270152 0.001768 0.194611 92 4.95594 16 2.65419 4.03628 4
38 43 5.00149 0.116314 0.105255 0.004627 0.411421 43 2.44127 0.0567737 0.0533101 0.003082 0.237019 43 1.22049 0.0283836 0.0266545 0.001538 0.118503 26 4.11135 6 2.0758 4.10198 4
39 832 57.7703 0.0694355 0.0847696 0.004607 0.744951 832 30.5206 0.0366834 0.0413461 0.003069 0.340521 832 15.2577 0.0183386 0.0206728 0.001532 0.170257 269 6.40081 40 2.68126 4.11415 4
40 2667 164.403 0.0616433 0.0710126 0.004561 0.573336 2667 91.6609 0.0343685 0.038126 0.003038 0.354722 2667 45.8221 0.0171811 0.0190627 0.001516 0.177357 828 5.9069 58 2.66758 5.16723 4
41 2429 140.946 0.0580263 0.0717336 0.004444 0.558321 2429 75.7439 0.0311832 0.0352082 0.00296 0.294326 2429 37.8645 0.0155885 0.0176038 0.001477 0.147159 644 5.34532 47 2.50593 5.4257 5
42 69 7.31942 0.106079 0.101124 0.00546 0.435086 69 3.41481 0.0494899 0.0457491 0.003637 0.188347 69 1.70718 0.0247417 0.0228743 0.001816 0.09417 37 4.48854 10 3.90676 4.06405 4
