# test_id(0) nb_it(1) time(2) mean_time(3) std_time(4) min_time(5) max_time(6) nb_diffusion_it(7) diffusion_time(8) mean_diffusion_time(9) std_diffusion_time(10) min_diffusion_time(11) max_diffusion_time(12) nb_extension_it(13) extension_time(14) mean_extension_time(15) std_extension_time(16) min_extension_time(17) max_extension_time(18) nb_nodes(19) path_lenth(20) nb_path_config(21) optim_time(22) optim_path_length(23) nb_optim_path_config(24)
459 301 19.7577 0.0656401 0.0812575 0.00561 0.6566 301 10.1277 0.0336468 0.0378883 0.003737 0.287684 301 5.06211 0.0168176 0.0189405 0.001866 0.143826 11 4.55584 11 2.61772 4.04343 3
460 269 23.1502 0.0860603 0.102212 0.005457 0.855515 269 11.734 0.0436208 0.0508713 0.003635 0.368393 269 5.86505 0.0218032 0.0254319 0.001815 0.184179 15 4.99612 10 2.31424 4.12608 4
461 119 6.91056 0.0580719 0.0726068 0.006577 0.489932 119 3.79589 0.0318982 0.0393234 0.004382 0.297015 119 1.89729 0.0159436 0.0196579 0.002188 0.148493 4 4.0785 4 2.63917 4.04142 4
462 18 2.06102 0.114501 0.117298 0.010235 0.341616 18 1.04703 0.0581685 0.0578607 0.006821 0.187902 18 0.523367 0.0290759 0.0289252 0.003408 0.093936 5 4.31906 5 1.94996 4.06612 4
463 6555 313.073 0.0477609 0.0626806 0.004481 1.41904 6555 178.621 0.0272496 0.0305616 0.002985 0.477374 6555 89.2765 0.0136196 0.0152773 0.00149 0.238671 114 13.6187 22 5.80934 5.26857 4
464 1572 62.6714 0.0398673 0.04974 0.005375 0.48294 1572 36.8736 0.0234565 0.024622 0.003581 0.307253 1572 18.4306 0.0117243 0.0123083 0.001788 0.153612 10 4.872 10 2.74528 4.26007 4
465 216 12.1468 0.056235 0.0737205 0.005424 0.459184 216 6.55062 0.030327 0.0354755 0.003613 0.256376 216 3.27417 0.0151582 0.017734 0.001804 0.128172 9 4.50628 9 3.38495 4.11265 4
466 107 6.71662 0.0627722 0.0762586 0.005973 0.325033 107 3.39547 0.0317334 0.036064 0.003979 0.196101 107 1.69711 0.0158608 0.0180279 0.001987 0.098036 9 5.31369 9 2.26038 4.06874 4
467 3101 130.114 0.0419588 0.051537 0.004542 0.988486 3101 77.0367 0.0248425 0.025825 0.003025 0.367896 3101 38.5042 0.0124167 0.0129095 0.00151 0.183929 10 5.00472 10 2.46255 4.13961 4
468 189 12.5281 0.0662865 0.072425 0.00586 0.334625 189 6.37612 0.0337361 0.0336971 0.003904 0.204943 189 3.18693 0.0168621 0.0168446 0.001949 0.102458 7 4.36461 7 2.39234 4.05227 3
469 760 34.5325 0.0454375 0.0585813 0.005334 0.403111 760 19.6498 0.025855 0.0290863 0.003553 0.226453 760 9.82156 0.0129231 0.01454 0.001774 0.113207 9 4.72592 9 2.73415 4.10669 3
470 250 14.1015 0.056406 0.0761006 0.005525 0.429857 250 7.39548 0.0295819 0.0359121 0.003681 0.227092 250 3.69645 0.0147858 0.0179524 0.001838 0.113532 7 4.37626 7 3.34967 4.06466 4
471 327 18.2656 0.055858 0.0780045 0.005904 0.489414 327 9.51993 0.0291129 0.0352359 0.003933 0.300467 327 4.75835 0.0145515 0.0176145 0.001964 0.150218 7 5.02555 7 3.37385 4.12175 4
472 612 34.8855 0.0570024 0.0748797 0.005408 0.470096 612 18.1366 0.029635 0.0342636 0.003603 0.294146 612 9.06497 0.014812 0.0171283 0.001799 0.147058 9 4.39846 9 3.52009 4.07965 4
473 234 15.1695 0.0648269 0.0888431 0.005478 0.647207 234 8.05112 0.0344065 0.0450385 0.003649 0.382345 234 4.02424 0.0171976 0.0225157 0.001822 0.191156 10 4.54997 10 3.20903 4.0792 4
474 1856 94.7919 0.0510732 0.0640473 0.004548 0.554339 1856 51.1635 0.0275666 0.0298341 0.003029 0.284081 1856 25.5721 0.013778 0.0149137 0.001512 0.142025 19 4.5557 19 2.59633 4.06259 4
475 508 27.7795 0.0546841 0.0662852 0.005375 0.450102 508 14.3922 0.028331 0.0296817 0.003581 0.228537 508 7.19333 0.0141601 0.0148372 0.001788 0.114254 20 5.1982 20 3.61942 4.12441 4
476 2459 100.813 0.0409974 0.0496002 0.005049 0.487632 2459 58.0619 0.023612 0.0247027 0.003363 0.26469 2459 29.0195 0.0118014 0.0123483 0.001679 0.13233 28 5.67014 28 3.41417 4.26435 4
477 105 9.98099 0.095057 0.0952074 0.005503 0.319929 105 4.09334 0.0389842 0.0375691 0.003666 0.180637 105 2.04585 0.0194843 0.0187804 0.00183 0.090305 15 4.47054 9 2.28898 4.06895 4
478 55 5.75252 0.104591 0.0982172 0.006543 0.398174 55 2.8178 0.0512328 0.0478311 0.004359 0.234649 55 1.40843 0.0256078 0.0239113 0.002177 0.117309 8 4.84457 8 3.23018 4.04097 4
479 440 29.163 0.0662795 0.0838781 0.005368 0.60845 440 14.5733 0.033121 0.0382358 0.003576 0.326103 440 7.28393 0.0165544 0.0191139 0.001785 0.163032 10 4.24995 9 3.03984 4.0575 4
480 506 36.5811 0.0722946 0.0854913 0.005395 0.496664 506 19.2537 0.0380507 0.0426315 0.003594 0.25482 506 9.62357 0.0190189 0.0213118 0.001794 0.127396 21 5.01631 12 2.86732 4.12236 4
481 465 25.1971 0.0541873 0.0685377 0.005092 0.481093 465 13.3681 0.0287487 0.0329881 0.003392 0.313633 465 6.68158 0.014369 0.0164905 0.001693 0.156801 9 4.96767 9 2.59109 4.07508 4
482 155 9.88022 0.0637433 0.0781201 0.005706 0.470482 155 5.34612 0.0344911 0.0386428 0.003801 0.284429 155 2.67219 0.01724 0.0193176 0.001898 0.1422 11 5.48108 11 2.5116 4.08574 4
483 65 5.60838 0.0862828 0.105736 0.005449 0.705695 65 2.94373 0.0452881 0.0618709 0.00363 0.458141 65 1.47138 0.0226367 0.0309321 0.001812 0.229055 10 5.02779 10 2.25116 4.07073 4
484 113 6.90585 0.0611137 0.0846159 0.006071 0.373049 113 3.51908 0.0311423 0.0358247 0.004045 0.179108 113 1.75896 0.015566 0.0179086 0.00202 0.08954 9 4.54891 5 1.68806 4.13899 3
485 188 14.9394 0.0794651 0.0882587 0.005407 0.444636 188 7.30936 0.0388796 0.0415761 0.003602 0.266558 188 3.65337 0.0194328 0.0207838 0.001798 0.133264 7 4.76028 7 2.39757 4.07583 4
486 236 19.7134 0.0835313 0.0934701 0.005346 0.53309 236 9.35264 0.0396298 0.0398708 0.003561 0.294542 236 4.67458 0.0198075 0.0199314 0.001778 0.147257 8 4.44172 8 2.38456 4.05789 4
487 442 22.6406 0.0512231 0.0675974 0.005381 0.419624 442 12.0152 0.0271836 0.0314792 0.003585 0.228611 442 6.00541 0.0135869 0.0157361 0.00179 0.114289 12 4.638 12 2.54192 4.13148 4
488 94 6.35266 0.0675815 0.0867828 0.005844 0.505465 94 3.29792 0.0350843 0.0449449 0.003893 0.297819 94 1.64837 0.0175359 0.022469 0.001944 0.148895 6 4.24883 6 2.30753 4.07022 4
489 239 18.867 0.0789415 0.0902003 0.005563 0.4902 239 9.33626 0.0390638 0.0417533 0.003706 0.23109 239 4.66643 0.0195248 0.0208724 0.00185 0.11553 6 4.17995 6 3.32573 4.06263 4
490 6062 247.437 0.0408176 0.0521748 0.004485 1.35016 6062 146.003 0.024085 0.0256205 0.002987 0.350193 6062 72.9749 0.0120381 0.0128073 0.001491 0.175081 32 6.98463 29 2.93683 5.19962 6
491 212 12.6923 0.0598695 0.0705287 0.005393 0.396677 212 6.63012 0.0312742 0.0341231 0.003593 0.246612 212 3.31384 0.0156313 0.0170577 0.001794 0.123292 8 4.34977 8 3.18434 4.01355 3
492 71 4.51596 0.0636051 0.0734431 0.006388 0.308522 71 2.37032 0.0333848 0.0331059 0.004256 0.12715 71 1.18476 0.0166868 0.0165487 0.002125 0.063561 6 4.18884 6 2.50155 4.04061 3
493 493 35.1527 0.0713036 0.0805841 0.005002 0.490287 493 17.3358 0.0351638 0.0373043 0.003332 0.225359 493 8.6646 0.0175753 0.0186482 0.001663 0.112665 19 4.30313 14 3.12607 4.06518 4
494 1954 87.1438 0.0445976 0.0552239 0.004477 0.437336 1954 47.9067 0.0245172 0.0252282 0.002982 0.248985 1954 23.9445 0.0122541 0.0126111 0.001488 0.124478 16 4.78113 16 2.5846 4.17012 4
495 398 22.7607 0.0571876 0.0742248 0.005363 0.492959 398 12.01 0.0301759 0.0351268 0.003573 0.282026 398 6.00293 0.0150827 0.0175599 0.001784 0.140998 8 4.53099 8 2.73638 4.06314 4
496 42 3.99706 0.0951681 0.0898932 0.006692 0.372528 42 1.89505 0.0451203 0.0421539 0.004459 0.202048 42 0.947169 0.0225516 0.0210728 0.002227 0.101009 6 4.62055 6 1.62526 4.11062 4
497 1611 104.299 0.0647419 0.0802305 0.004555 0.638232 1611 55.3698 0.0343698 0.0412546 0.003034 0.418216 1611 27.6746 0.0171785 0.0206236 0.001514 0.209091 31 5.40609 20 2.83241 4.05764 4
498 105 10.6461 0.101391 0.114783 0.004464 0.573885 105 5.11113 0.0486774 0.0550885 0.002973 0.296698 105 2.55475 0.024331 0.0275402 0.001484 0.148333 10 4.94145 8 3.38842 4.09835 4
499 190 11.0301 0.0580534 0.0809498 0.005848 0.470057 190 5.77671 0.0304037 0.0379074 0.003896 0.231365 190 2.88738 0.0151967 0.0189502 0.001945 0.115668 10 4.87927 10 2.34954 4.0478 4
500 91 7.2292 0.0794417 0.0847319 0.006676 0.365064 91 3.66978 0.0403272 0.0400228 0.004448 0.199599 91 1.83422 0.0201562 0.0200069 0.002221 0.099785 7 4.73671 7 3.15755 4.07592 3
# failure ratio: 0
